,smiles,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
24,BrCc1ccccc1,0,0,0,0,-1,-1,0,0,0,0,0
25,CCCCOC(=O)C(C)OC(=O)CCC,0,0,0,0,-1,-1,0,0,0,0,0
26,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1.Cl.Cl,0,0,0,0,0,0,0,0,0,0,-1
27,CC(C)n1nnc2cc(C(=O)O)ccc21,0,0,0,0,0,0,0,0,0,0,-1
28,O=C(O)c1ccc(N2N=C(Cc3ccccc3)/C(=C\c3ccc(-c4ccccc4F)o3)C2=O)cc1,0,0,0,0,0,0,0,0,0,0,-1
29,N=C(O)c1cnc(N[C@@H]2CCCC[C@@H]2N)[nH]c1=Nc1cccc(-n2nccn2)c1,0,0,0,0,0,0,0,0,0,0,-1
30,CC(N=C(O)c1cc(CN=C(O)C(C)([NH3+])Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,0,0,0,0,0,0,0,0,-1,0,0
31,C=CCCCCCCCCOC(C)=O,0,0,0,0,-1,-1,0,0,0,0,0
32,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,-1,0,0,0,0,0,0,0,0,0,0
33,Cc1cccc(O)c1,0,0,0,0,-1,-1,0,0,0,0,0
34,COc1cc(/C=C/C(=O)N2CCN(CC(=O)N3CCCC3)CC2)cc(OC)c1OC.O=C(O)/C=C\C(=O)O,0,0,0,0,0,0,-1,0,0,0,0
35,Cn1cnc(=N)c2nc[nH]c21,0,0,0,0,0,0,0,0,0,0,-1
36,c1ccc(-c2ccc(-n3cnnn3)cc2)cc1,0,0,0,0,0,0,0,0,0,-1,0
37,N=C1NCC2c3ccccc3Cc3ccccc3N12,0,0,0,-1,-1,0,0,0,0,0,-1
38,C=CC1CN2CCC1CC2C(OC(=O)OCC)c1ccnc2ccc(OC)cc12,0,0,0,0,-1,-1,0,0,0,0,0
39,CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C.Cl,0,0,0,0,0,0,0,0,0,0,-1
40,CCn1cc(C2(c3cccc(-c4cccnc4F)c3)NC(=N)N(C)C2=O)cn1,0,0,0,0,0,0,0,0,1,0,0
41,CCn1cc[n+](C)c1,0,0,0,0,0,-1,0,0,0,0,0
42,COC[C@@H](Oc1cc(C[C@@H]2CS(=O)C[C@H](NCc3cccc(C(C)(C)C)c3)[C@H]2O)cc(F)c1[NH3+])C(F)(F)F,0,0,0,0,0,0,0,0,1,0,0
43,CCC(Br)(CC)C(O)=NC(=N)O,0,0,1,0,-1,-1,0,0,0,0,0
44,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,0,0,0,-1,-1,-1,0,0,0,0,0
45,COc1ccccc1C(O)=Nc1cc2c(cc1N1CCCC1)n(C)c(=O)n2C,0,0,0,0,0,0,0,0,0,0,-1
46,CCCOC(=O)Cn1cc(I)c(=O)c(I)c1,-1,0,0,0,0,0,0,0,0,0,0
47,CC(C)CC(C)(O)C#CC(C)(O)CC(C)C,0,0,0,0,0,-1,0,0,0,0,0
48,CCOc1ccc(CC(=O)O)cc1,0,0,0,0,0,0,0,0,0,-1,0
49,O=S(=O)(O)c1ccc(Cl)cc1,0,0,0,0,-1,-1,0,0,0,0,0
50,CCC[C@@H](N=C(O)N1C(=O)C(CC)(CC)[C@@H]1Oc1ccc(C(=O)N2CCN(C)CC2)cc1)c1ccc2c(c1)OCO2,0,0,0,0,0,0,0,0,0,0,-1
51,CCn1cc(N=C(O)C2CCC2)cn1,0,0,0,0,0,0,0,0,0,-1,0
52,ClC(Cl)(Br)Br,0,0,0,0,-1,-1,0,0,0,0,0
53,[I-].[Na+],0,0,0,-1,0,0,0,0,0,0,0
54,CC(O)=NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C3CCCO3)c2)CC1,0,0,0,0,0,0,0,0,-1,0,0
55,CC1=NN(c2cccc(S(=O)(=O)O)c2)C(=O)C1,0,0,0,0,-1,-1,0,0,0,0,0
56,COCCC#Cc1cccc(C2(c3ccc(OC(F)F)cc3)NC(=N)N3CC(F)(F)CN=C32)c1,0,0,0,0,0,0,0,0,1,0,0
57,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,-1,0,0,0,0,0,-1,0,0,0,-1
58,CN(C)Cc1ccc(CSCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1,0,0,1,0,0,0,0,0,0,0,0
59,CS(=O)(=O)NC1CCCC1,0,0,0,0,0,0,0,0,0,-1,0
60,Cc1ccc([N+](=O)[O-])cc1N,0,0,0,0,-1,-1,0,0,0,0,0
61,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,0,0,0,0,-1,-1,0,0,0,0,0
62,NC(C(O)=N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,0,1,0,0,0,0,0,-1,0,0,0
63,CSc1cnccn1,0,0,0,0,-1,-1,0,0,0,0,0
64,C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C,0,0,0,0,0,0,0,0,0,0,-1
65,Cc1cc(C)cc(N=C(O)Nc2ccc(OS(N)(=O)=O)cc2)c1,0,0,0,0,0,0,0,0,0,0,-1
66,OCc1c[nH]c2ccccc12,0,0,0,0,1,-1,0,0,0,0,-1
67,CC(O)=Nc1ncc([N+](=O)[O-])s1,0,0,0,0,0,-1,0,0,0,0,-1
68,Cn1ccc(=NCc2ccccc2)[nH]1,0,0,0,0,0,0,0,0,0,-1,0
69,CC(O)=NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(C)CC1,0,0,0,0,0,0,0,0,1,0,0
70,CC(C)(C)N=C(O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)N=C(O)C(CC(=N)O)NC(=O)c1ccc2ccccc2n1,0,0,1,0,0,0,0,0,0,0,0
71,O=C(CCl)N1CCN(Cc2cccs2)CC1,0,0,0,0,0,0,0,0,0,1,0
72,CCCC1(CCC)CCC2(CCN(CCCN(CC)CC)C2)CC1.Cl.Cl,0,0,0,0,0,0,0,0,0,0,-1
73,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,-1,0,0,0,-1,-1,-1,0,0,0,-1
74,CCCN(CCC)C(=O)c1cc(C(O)=NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)cc(C(C)N=C(C)O)c1,0,0,0,0,0,0,0,0,1,0,0
75,CC(S)C(C)S,0,0,0,0,-1,-1,0,0,0,0,0
76,FCC1(c2ccccn2)CCOCC1,0,0,0,0,0,0,0,0,0,-1,0
77,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,0,0,1,0,-1,-1,-1,0,0,0,0
78,c1csc(C2(N3CCCCC3)CCCCC2)c1,0,0,0,0,-1,-1,0,0,0,0,0
79,CC(=O)OCC1OC(OC2(COC(C)=O)OC(COC(C)=O)C(OC(C)=O)C2OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,0,0,0,0,-1,-1,0,0,0,0,0
80,CN1CC(O)c2cc(N=NC(=N)O)c(O)cc21,0,0,0,0,0,0,-1,0,0,0,0
81,CCC(=C(CC)c1ccc(OP(=O)(O)O)cc1)c1ccc(OP(=O)(O)O)cc1,0,0,0,0,-1,-1,0,0,0,0,0
82,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,0,0,0,0,0,0,0,0,0,0,-1
83,O=C(CCCc1ccccc1)N1CCOCC1,0,0,0,0,0,0,0,0,0,-1,0
84,CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(O)nc(=N)[nH]c21.Cl,0,0,0,0,0,0,-1,0,0,0,-1
85,COc1cc(CC#N)cc(OC)c1OC,0,0,0,0,0,0,0,0,0,0,0
86,COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(Cl)c(=Nc2ccccc2P(C)(C)=O)[nH]1,0,0,0,0,0,0,0,0,0,0,-1
87,CC12CCC3c4ccc(O)cc4CCC3C1CCC2OP(=O)(O)O,0,0,0,0,-1,-1,0,0,0,0,0
88,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,0,0,-1,0,0,0,1,0,0,0,-1
89,CC(C)(C)c1ccc(N)cc1,0,0,0,0,-1,-1,0,0,0,0,0
90,Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@H](CN2CCCC2)C1,0,0,0,0,0,0,0,0,0,0,-1
91,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,0,0,0,0,0,0,-1,0,0,0,-1
92,CN=C(NC#N)NCCSCc1csc(NC(=N)N)n1,0,0,1,0,-1,-1,0,0,0,0,-1
93,Oc1ccc(C(=C(Cl)Cl)c2ccc(O)cc2)cc1,0,0,0,0,1,0,0,0,0,0,0
94,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,-1,1,1,1,-1,-1,-1,-1,0,0,-1
95,Nc1ccccc1S(=O)(=O)c1ccccc1,0,0,0,0,-1,-1,0,0,0,0,0
96,CN1CCCC1CCSc1ccc(O)cc1,0,0,0,0,0,0,0,0,0,0,-1
97,COc1ccc(C(O)=NCc2ccc(OCCN(C)C)cc2)cc1OC.Cl,0,0,0,0,0,0,0,0,0,0,-1
98,CC(Cc1cc2cc(-c3ncccc3Cl)ccc2nc1N)C(O)=NCCC(C)(C)C,0,0,0,0,0,0,0,0,1,0,0
99,O=C(N[C@H](CO)[C@H](O)c1ccc(N([O-])[O-])cc1)C(Cl)=[Cl+],-1,0,0,0,0,0,0,0,0,0,0
100,C=CCCC(=O)O,0,0,0,0,-1,-1,0,0,0,0,0
101,CC(C)Oc1cccc(CN2CC[C@@]3(C[C@@H]2C)C[NH+](C)S(=O)(=O)N3c2cccc(F)c2)c1,0,0,0,0,0,0,0,0,-1,0,0
102,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0,0,0,0,0,0,-1,0,0,0,-1
103,Cc1ccc(C23CNCC2C3)cc1.Cl,0,0,0,0,0,0,0,0,0,0,-1
104,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CCOC(=N)N1,0,0,0,0,0,0,0,0,-1,0,0
105,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,0,1,1,0,0,0,0,-1,0,0,0
106,N=c1[nH]c2ccc(Cl)cc2[nH]1,0,0,0,0,0,0,0,0,-1,0,0
107,CCN(Cc1ccncc1)C(=O)[C@@H](CO)c1ccccc1,0,0,0,0,0,0,0,0,0,0,-1
108,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1.Cl.Cl,0,0,0,0,0,0,-1,0,0,0,0
109,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,0,0,0,0,1,-1,0,0,0,0,0
110,CC(O)=NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C3COCCO3)c2)CC1,0,0,0,0,0,0,0,0,-1,0,0
111,CS(=O)(=O)c1ccc(Cl)cc1,0,0,0,0,-1,-1,0,0,0,0,0
112,Clc1nc(Cl)nc(Cl)n1,0,0,0,0,-1,-1,0,0,0,0,0
113,CC(C)(C)Cc1cc(CNC2CS(=O)(=O)CC(Cc3cc(F)c([NH3+])c(OC(C(F)(F)F)C(F)(F)F)c3)C2O)no1,0,0,0,0,0,0,0,0,1,0,0
114,N=c1nc(O)c2nc(Br)n([C@@H]3O[C@@H]4COP(=O)(O)O[C@H]4[C@H]3O)c2[nH]1,0,0,0,0,0,0,0,0,0,0,-1
115,Cc1onc(O)c1CC(N)C(=O)O,0,0,0,0,0,0,0,0,0,0,-1
116,CC1(C)O[C@@H]2C[C@H]3C4CCC5CC(=O)CCC5(C)[C@@]4(F)[C@@H](O)CC3(C)[C@]2(C(=O)CO)O1,0,0,1,0,0,0,0,0,0,0,0
117,CC1(C(O)=Nc2ccc(O)c(Cl)c2Cl)CCCCC1,0,0,0,0,1,-1,0,0,0,0,0
118,C=CCSCC([O-])=NC1C(=O)N2C1SC(C)(C)C2C(=O)O.[Na+],0,0,-1,0,0,0,0,0,0,0,0
119,Cn1cccc1,0,0,0,0,0,0,0,0,0,0,0
120,CC(N=C(O)c1cc(C[NH2+]CC([NH3+])(CO)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,0,0,0,0,0,0,0,0,-1,0,0
121,[O-][n+]1ccccc1SSc1cccc[n+]1[O-],0,0,0,0,1,1,0,0,0,0,0
122,CC1(C)Cc2cc(Cl)ccc2C(N[C@@H](Cc2cscc2-c2cn[nH]c2)C(=O)O)=N1,0,0,0,0,0,0,0,0,-1,0,0
123,C#CC1=C(C#C)C(=O)C(Cl)=C(Cl)C1=O,0,0,0,0,0,0,0,0,0,0,0
124,CC([NH2+]CC(O)C(Cc1ccccc1)N=C(O)c1cccc(Nc2ccccc2)c1)C(O)=NC1CCCCC1,0,0,0,0,0,0,0,0,-1,0,0
125,CCOC(=O)OC1=C(c2cc(C)ccc2C)C(O)=NC12CCC(OC)CC2,0,0,0,0,0,1,0,0,0,0,0
126,CCCCCCCC,0,0,0,0,-1,-1,0,0,0,0,0
127,CC1N=C(O)C(N=C(O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)N=C(O)C2CC(=O)CCN2C(=O)C(Cc2ccc(N(C)C)cc2)N(C)C(=O)C2CCCN2C1=O,0,0,-1,0,0,0,0,0,0,0,0
128,CC(=O)OCC1OC(OC2C(COC(C)=O)OC(O)C(OC(=O)c3ccccc3C(=O)O)C2O)C(O)C(OC(=O)c2ccccc2C(=O)O)C1O,0,0,0,0,-1,-1,0,0,0,0,0
129,C[C@@H](O[C@@H]1OCCN(Cc2nc(O)n[nH]2)[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0,1,0,1,0,0,0,-1,0,0,0
130,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0,0,1,0,0,1,0,0,0,0,-1
131,Cl.O=C(O)[C@H]1OC=C[C@@H](O)[C@@H]1O,0,0,0,-1,0,0,0,0,0,0,0
132,CN1C(=O)c2ccccc2C1=O,0,0,0,0,-1,-1,0,0,0,0,0
133,COc1ccccc1C1(O)CCN(CCCn2c3ccccc3c3ccccc32)CC1,0,0,0,0,0,0,0,0,0,0,-1
134,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,0,0,0,0,-1,-1,-1,0,0,0,-1
135,OCC(CO)n1cnc(-c2ccc(F)cc2)c1-c1ccnc(Oc2ccccc2)n1,0,0,0,0,0,-1,0,0,0,0,0
136,CCCCCCCCCCCC(=O)OCC,0,0,0,0,-1,-1,0,0,0,0,0
137,COCCOCCOCCOCCOC,0,0,0,0,-1,-1,0,0,0,0,0
138,Oc1ccnc(O)n1,0,0,0,0,0,0,0,0,0,0,-1
139,CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O,0,0,0,0,-1,1,-1,0,0,0,0
140,Nc1cccnc1N,0,0,0,0,0,0,0,0,0,0,0
141,CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1,-1,0,0,0,0,0,0,0,0,0,0
142,OC1=NC2(CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)SC1,0,0,0,0,1,0,0,0,0,0,0
143,N=C(N)SCCc1ccc(OCc2ccc([N+](=O)[O-])cc2)cc1,0,0,0,0,0,0,0,0,0,0,-1
144,CCC(O)=NCc1nnc2n1CCCC2,0,0,0,0,0,0,0,0,0,-1,0
145,CCCCCCC=O,0,0,0,0,-1,-1,0,0,0,0,0
146,CC1=Nc2ccc3ccccc3c2C1(C)C,0,0,0,0,1,-1,0,0,0,0,0
147,O=S(=O)(O)c1cc(S(=O)(=O)O)c2c(N=Nc3ccccc3)c(O)ccc2c1,0,0,0,0,0,-1,0,0,0,0,0
148,CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O,0,0,0,0,-1,-1,0,0,0,0,-1
149,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](N=C([O-])CCCC(N)C(=O)[O-])C2SC1.[Zn+2],0,0,0,0,0,0,0,0,0,0,-1
150,COc1cc2c(cc1OC)C(=O)C(CC1CC[NH+](Cc3ccccc3)CC1)C2,-1,0,0,0,0,0,0,0,0,0,0
151,CC(C)=CCC[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,0,0,0,0,0,0,0,0,0,0,-1
152,CCCOCCn1c(=O)c(N2CCN(CCO)CC2)nc2cnc(-c3ccc(OC)nc3)cc21,0,0,0,0,0,0,0,0,0,0,-1
153,CCCN1CCCC2Cc3n[nH]cc3CC21,0,0,0,0,-1,-1,0,0,0,0,0
154,Cc1ccccc1CCO,0,0,0,0,-1,-1,0,0,0,0,0
155,Cc1ccc(CN=C(O)C2CCC2)cn1,0,0,0,0,0,0,0,0,0,-1,0
156,CC(/C=C/C(O)=NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,0,0,0,0,0,0,0,0,0,0,-1
157,CCN(CC)CCOc1ccccc1C(=O)CCc1ccccc1,0,0,0,0,0,-1,0,0,0,0,-1
158,N[C@@H](C(=O)O)[C@@H](OCc1ccccc1)C(=O)O.N[C@H](C(=O)O)[C@H](OCc1ccccc1)C(=O)O,0,0,0,0,0,0,0,0,0,0,-1
159,CC(C)n1c(=O)n(C(O)=NC2CC3CCC(C2)N3C)c2ccccc21,0,0,0,0,0,0,0,0,0,0,-1
160,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CC=C2c1ccccc1,0,0,0,0,0,0,0,0,0,0,-1
161,COc1ccc(C[C@H](N)C(O)=NC2[C@@H](CO)O[C@@H](n3cnc4c(N(C)C)ncnc43)[C@@H]2O)cc1,0,0,-1,0,0,0,0,0,0,0,0
162,O[C@@H](CN1CCC(Cc2ccc(F)cc2)CC1)c1ccc(Cl)cc1,0,0,0,0,0,0,0,0,0,0,-1
163,O=S(=O)(NC1(C(O)=NO)CCOCC1)c1ccc(Oc2ccc(F)cc2)cc1,0,0,0,0,-1,-1,0,0,0,0,0
164,C1=C2CCCN[C@H]2[C@@H]2C[C@H]1[C@H]1CCCCN1C2,0,0,0,0,0,0,0,0,0,0,-1
165,NC(CS)C(=O)O,0,0,0,0,0,-1,0,0,0,0,0
166,CCCCn1cc(C(O)=NC(Cc2ccccc2)C(O)C[NH2+]Cc2cccc(OC)c2)c2ccccc21,0,0,0,0,0,0,0,0,-1,0,0
167,C=CCN(C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)c(F)c1.O=C(O)/C=C/C(=O)O,0,0,0,0,0,0,0,0,0,0,-1
168,COc1ccc(C(=O)c2c(C)n(CCN3CCOCC3)c3cc(I)ccc23)cc1,0,0,0,0,0,0,0,0,0,0,-1
169,O=C1CCCCCCCCCCCCCC1,0,0,0,0,1,-1,0,0,0,0,0
170,CC(N)C(O)=NC(C)C(O)=NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC21,0,0,0,0,0,0,0,0,0,0,0
171,CC(C)(O)C#CC(C)(C)O,0,0,0,0,-1,-1,0,0,0,0,0
172,O=C([O-])CN=C(O)c1ccccc1,-1,0,0,0,0,0,0,0,0,0,0
173,CS(=O)(=O)OC[C@H](O)[C@@H](O)COS(C)(=O)=O,0,0,0,0,0,0,0,0,0,0,-1
174,CN(C)CCCSC(=N)N,0,0,0,0,0,0,0,0,0,0,-1
175,CCCc1c(-c2ccc(O)cc2)nn(-c2ccc(O)cc2)c1-c1ccc(O)cc1,0,0,0,0,0,0,0,0,0,0,-1
176,O=C(O)c1cccc([N+](=O)[O-])c1,0,0,0,0,-1,-1,0,0,0,0,0
177,O=C(O)c1ccccc1,0,0,0,0,0,-1,0,0,0,0,-1
178,CCc1cccc(N(C)C(=N)Nc2cccc3ccccc23)c1,0,0,0,0,-1,-1,0,0,0,0,0
179,Clc1cccc(Cl)c1CSc1nnc(-c2cnccn2)s1,0,0,0,0,0,0,0,0,0,0,-1
180,COc1ccc(Cl)cc1N=C(O)N=c1cc(C)[nH]c2ccccc12,0,0,0,0,0,0,0,0,0,0,-1
181,O=[N+]([O-])c1ccc(Cl)cc1Cl,0,0,0,0,-1,-1,0,0,0,0,0
182,O=C(O)c1ccccc1O,0,0,-1,1,0,-1,0,0,0,0,-1
183,C[C@@H](NCc1cc(Br)cc2[nH]c(=O)c(=O)[nH]c12)P(=O)(O)O,0,0,0,0,0,0,0,0,0,0,-1
184,CC=C1CC2C=CC1C2,0,0,0,0,-1,-1,0,0,0,0,0
185,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCCC[C@H]1N1CCCC1,0,0,1,0,0,0,0,0,0,0,0
186,OC1=Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,0,0,0,1,1,0,0,0,0,0,0
187,O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,0,0,0,0,0,0,0,0,0,0,-1
188,CCC(=O)c1cc(C2(c3cccc(-c4cccnc4F)c3)NC(=N)N(C)C2=O)cs1,0,0,0,0,0,0,0,0,1,0,0
189,N#CC(c1ccccc1)c1ccccc1,0,0,0,0,0,-1,0,0,0,0,0
190,Cc1ccc(S(=O)(=O)C(I)I)cc1,0,0,0,0,0,0,0,0,0,0,0
191,COCC(Oc1cc(CC2CS(=O)CC(NCc3cccc(C(C)C)c3)C2O)cc(F)c1[NH3+])C(F)(F)F,0,0,0,0,0,0,0,0,1,0,0
192,CC(C)c1cc(CN=c2nc(N3CCN(C)CC3)cc(N=c3cc(C4CC4)[nH][nH]3)[nH]2)on1,0,0,0,0,0,0,0,0,0,0,-1
193,CCOC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,0,0,0,0,0,0,0,0,0,0,0
194,Clc1ccnc(Cl)n1,0,0,0,0,0,-1,0,0,0,0,0
195,CCS(=O)(=O)N1CCC(C(=O)O)CC1,0,0,0,0,0,0,0,0,0,-1,0
196,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,0,0,0,0,-1,-1,0,0,0,0,0
197,N=C(O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,0,0,0,0,0,0,0,0,0,0,-1
198,Cc1cccc(C)c1N=C(O)C1CCCCN1C,0,-1,0,1,-1,-1,0,-1,0,0,0
199,C[C@@H](CN1CCC(Cc2ccccc2)CC1)[C@@H](O)c1ccc(O)cc1,0,0,0,0,0,0,0,0,0,0,-1
200,CC(C)(C)OOC(C)(C)C,0,0,0,0,-1,-1,0,0,0,0,0
201,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0,1,0,1,-1,-1,-1,-1,0,0,0
